asset_id	asset_kind	asset_label	source_group	source_index	source_path	source_sha256	source_width	source_height	crop_x	crop_y	crop_width	crop_height	asset_path	asset_sha256	source_alias_paths	notes
mockups-01-asset-001	control-annotation	mockup_01 control annotation 001	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	131	0	401	82	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_001_control-annotation.png	1eb576d1aab5f26dca973d6b1b7287ed6ad172dd8fb223f33a0ecf3d0f9b6091		foreground-component-heuristic
mockups-01-asset-002	component	mockup_01 component 002	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	1	61	291	238	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_002_component.png	f06707fb9f12519adf22f481f1d0ec940758d0a694d98630c1d1acd806482701		foreground-component-heuristic
mockups-01-asset-003	component	mockup_01 component 003	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	961	61	231	365	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_003_component.png	ee73085ca87cdcabc6805ec8aa66b4786a87e235ff8bdc3ecb700bbfaeb77d4a		foreground-component-heuristic
mockups-01-asset-004	panel	mockup_01 panel 004	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	571	84	395	348	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_004_panel.png	d6ed5754ddd936852b1bee5ce77da73785e396b9c841204ad949d073b941430e		foreground-component-heuristic
mockups-01-asset-005	component	mockup_01 component 005	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	1221	144	255	222	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_005_component.png	c95c00588f84ea92182e6cedfe94d15bc5159f004eb4c974992f27a8415f8230		foreground-component-heuristic
mockups-01-asset-006	control-annotation	mockup_01 control annotation 006	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	358	151	141	241	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_006_control-annotation.png	a89eb6fc8a25af43e7fc61f0c65625eed08ebe6bc5587751d5e4fd668ea05899		foreground-component-heuristic
mockups-01-asset-007	panel	mockup_01 panel 007	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	684	494	375	422	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_007_panel.png	f6e16d89941229e68087c913ba0ebb00f09ca7384db559db70b2e11950c3e0f0		foreground-component-heuristic
mockups-01-asset-008	panel	mockup_01 panel 008	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	311	501	398	338	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_008_panel.png	db020bafaff488a07e16150086c403716ba90e64704abd3c10d3e3216cbe232d		foreground-component-heuristic
mockups-01-asset-009	control-annotation	mockup_01 control annotation 009	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	1044	501	192	238	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_009_control-annotation.png	14104b1a6883a48f79e09ced7f8c3b03516c72af2c0fc5b83de8f7b31884ccc8		foreground-component-heuristic
mockups-01-asset-010	control-annotation	mockup_01 control annotation 010	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	1224	521	252	155	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_010_control-annotation.png	60c9e9b9e11dbaba64afb89db01056c0f15a09aa6e00c4d9767f34679a20bc78		foreground-component-heuristic
mockups-01-asset-011	control-annotation	mockup_01 control annotation 011	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	74	531	138	308	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_011_control-annotation.png	7264c9b2aa12b31a441d0f48dcef8c38b51aad9525b32d1b1cf607dd76559b65		foreground-component-heuristic
mockups-01-asset-012	control-annotation	mockup_01 control annotation 012	mockups	01	docs/ui-ux/mockups/mockup_01.png	33bc5ecf94bd8cd974c73dde0eb454435e725e6bc22fc1b882d919d481abaf29	1491	1055	1221	678	261	188	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_01/mockup_01_asset_012_control-annotation.png	c3aaa9814bd7ebf87a3dca61b7461b93f9c44fa63332b98588aeb2ed05eebe07		foreground-component-heuristic
mockups-02-asset-001	control-annotation	mockup_02 control annotation 001	mockups	02	docs/ui-ux/mockups/mockup_02.png	d9df86ef3767b3a1759d90480c2ed8abc1b6031e12e0b6963af06f4f5b023542	1491	1055	144	0	428	82	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_02/mockup_02_asset_001_control-annotation.png	c8729f44780915696150b72894fcfdd824b10cee6d110b707d177e246640c692		foreground-component-heuristic
mockups-02-asset-002	control-annotation	mockup_02 control annotation 002	mockups	02	docs/ui-ux/mockups/mockup_02.png	d9df86ef3767b3a1759d90480c2ed8abc1b6031e12e0b6963af06f4f5b023542	1491	1055	0	54	172	225	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_02/mockup_02_asset_002_control-annotation.png	f98601c9b73f66a3d15d9ab80bacb1a830265ab2d1ee8286ddb784d0d1e48a4e		foreground-component-heuristic
mockups-02-asset-003	control-annotation	mockup_02 control annotation 003	mockups	02	docs/ui-ux/mockups/mockup_02.png	d9df86ef3767b3a1759d90480c2ed8abc1b6031e12e0b6963af06f4f5b023542	1491	1055	734	54	268	142	docs/ui-ux/individual-assets-2026-06-22/assets/mockups/mockup_02/mockup_02_asset_003_control-annotation.png	f56bccea29e946d5d82f59031f28bb16fd41fea024e40c0732e6e6df4c40e11b		foreground-component-heuristic
